name,tag,link
HIGHLANDER,Men Regular Fit Solid Casual Shirt,https://www.flipkart.com/highlander-men-solid-casual-white-shirt/p/itma226b7c620a17?pid=SHTGAJUZ54M4SYJU&lid=LSTSHTGAJUZ54M4SYJUUIJFBR&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKZsBhyR7d-WPwQZ8Euatrdw14-2-EfpDb_QxeJKJsQkPw%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
GP GARMENTS,"Men Printed, Typography Round Neck Cotton Blend White T...",https://www.flipkart.com/gp-garments-printed-typography-men-round-neck-white-t-shirt/p/itm52eba44f8258c?pid=TSHGMV94VKZGZDQU&lid=LSTTSHGMV94VKZGZDQUS1PGFB&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKZfn_qjrxrWLb101ODhim-y9hnS2ZQhD-jUua7-FdikDw%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
Yazole,Men Solid Black Track Pants,https://www.flipkart.com/yazole-solid-men-black-track-pants/p/itmf9a338a448f6a?pid=TKPGHFQDK8JYZDUS&lid=LSTTKPGHFQDK8JYZDUSTNIMNQ&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TKPGHFQDK8JYZDUS.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
NB NICKY BOY,Nikky Men Printed Round Neck Cotton Blend Black T-Shirt,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm8cd9c96a67f21?pid=TSHGC74BRSQZQQPP&lid=LSTTSHGC74BRSQZQQPPZQRTGJ&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TSHGC74BRSQZQQPP.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
VeBNoR,Men Checkered Round Neck Poly Cotton Blue T-Shirt,https://www.flipkart.com/vebnor-checkered-men-round-neck-blue-t-shirt/p/itma710e2db5402e?pid=TSHGHXV9UGRHYY4T&lid=LSTTSHGHXV9UGRHYY4TU9CW4O&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TSHGHXV9UGRHYY4T.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-solid-casual-grey-shirt/p/itmfbb7c9d433df3?pid=SHTFZFTGEHZFXB3D&lid=LSTSHTFZFTGEHZFXB3D2BBWXN&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.SHTFZFTGEHZFXB3D.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
x2o,Short For Boys & Girls Casual Printed Cotton Blend,https://www.flipkart.com/x2o-short-boys-girls-casual-printed-cotton-blend/p/itmf8cfc2faf9b5d?pid=KSHG6FTVFRURHHGU&lid=LSTKSHG6FTVFRURHHGUYWEIRQ&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKYRkGyX9OmTOq9knn3BSga6antKC_koVFSflFQuSK1r4Q%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
SYS Bella Fashion,Men Slim Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/sys-bella-fashion-men-printed-casual-white-shirt/p/itm4f091fa05cab7?pid=SHTGG4WYTTMK7YVK&lid=LSTSHTGG4WYTTMK7YVKUE7DKY&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKZudmOM18vNV6kTqV30U8r9_INvDZTEdNulXZ1l1gKLjA%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-printed-casual-blue-shirt/p/itm8c0286244db2e?pid=SHTGJMJ6NZQMKBJZ&lid=LSTSHTGJMJ6NZQMKBJZYUHCTT&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.SHTGJMJ6NZQMKBJZ.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
Surhi,Men Slim Fit Checkered Spread Collar Casual Shirt,https://www.flipkart.com/surhi-men-checkered-casual-grey-shirt/p/itm0f168b89ba37a?pid=SHTFT97H39WTBVFB&lid=LSTSHTFT97H39WTBVFBNMIQYH&marketplace=FLIPKART&q=clothing&store=clo&spotlightTagId=BestsellerId_clo&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.SHTFT97H39WTBVFB.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Solid Cut Away Collar Casual Shirt,https://www.flipkart.com/highlander-men-solid-casual-maroon-shirt/p/itm1bb7675611bb5?pid=SHTGG9TM964MC7RH&lid=LSTSHTGG9TM964MC7RHNHFULW&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKbVNnaJrK5H3ED0Q-EXzBmj2vC_oTYRoSSjPax-sMEqdQ%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
Glazer,Pack of 5 Men Solid Beige Track Pants,https://www.flipkart.com/glazer-solid-men-beige-track-pants/p/itmfe6a5cd026b89?pid=TKPG6JQSWKPPHF6W&lid=LSTTKPG6JQSWKPPHF6WCTAZS5&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKY-ubxF07V_7fB6zRMG4lcDVdMH2wC9F036HVSlSxgPmw%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
3BROS,Men Solid Polo Neck Cotton Blend (220 gsm) Green T-Shir...,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itm7e860cbd6041c?pid=TSHGBAWVBDGYWHZZ&lid=LSTTSHGBAWVBDGYWHZZWURTTB&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TSHGBAWVBDGYWHZZ.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
VeBNoR,"Pack of 2 Men Printed Black, Grey Track Pants",https://www.flipkart.com/vebnor-printed-men-black-grey-track-pants/p/itm1b2a7c460345b?pid=TKPGPRU6XDAZZWHQ&lid=LSTTKPGPRU6XDAZZWHQCLZ2CK&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TKPGPRU6XDAZZWHQ.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
TRIPR,"Pack of 2 Men Printed Black, Grey Track Pants",https://www.flipkart.com/tripr-printed-men-black-grey-track-pants/p/itm0792615c9d9bf?pid=TKPGMENQGSJ9MVYX&lid=LSTTKPGMENQGSJ9MVYXTKVQCK&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TKPGMENQGSJ9MVYX.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
Jai Textiles,Men Slim Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/jai-textiles-men-printed-casual-black-shirt/p/itm87292c2bfe229?pid=SHTFP3TTTCJJXTJG&lid=LSTSHTFP3TTTCJJXTJGLWVAZB&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.SHTFP3TTTCJJXTJG.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
4 SPEED,Men Striped Blue Track Pants,https://www.flipkart.com/4-speed-striped-men-blue-track-pants/p/itmd84b47c31bbd2?pid=TKPGCHRFYHEPDSHG&lid=LSTTKPGCHRFYHEPDSHGFDP6FN&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKZUbSnwi_Ih967wEL3k6k8Y6qtQk1PPQyMGkjhYsv-KSQ%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
HIGHLANDER,Men Tapered Fit Mid Rise Grey Jeans,https://www.flipkart.com/highlander-tapered-fit-men-grey-jeans/p/itmb142265417121?pid=JEAGFFUMCPEQYG8Y&lid=LSTJEAGFFUMCPEQYG8YBCEINI&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKaG1229BHT5MoiUC8PGkdGOX-7I1D3QdzaPuYvNnO6JNg%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
Foxter,Pack of 2 Men Striped Multicolor Track Pants,https://www.flipkart.com/foxter-striped-men-multicolor-track-pants/p/itm818e550f28f86?pid=TKPGJXR9UHJHHYHR&lid=LSTTKPGJXR9UHJHHYHRY013QC&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TKPGJXR9UHJHHYHR.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
