name,tag,link
GP GARMENTS,"Men Printed, Typography Round Neck Cotton Blend White T...",https://www.flipkart.com/gp-garments-printed-typography-men-round-neck-white-t-shirt/p/itm52eba44f8258c?pid=TSHGMV94VKZGZDQU&lid=LSTTSHGMV94VKZGZDQUS1PGFB&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPXANbVyAL4zQxmeMJSim1yA9hnS2ZQhD-jUua7-FdikDw%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
HIGHLANDER,Men Regular Fit Solid Casual Shirt,https://www.flipkart.com/highlander-men-solid-casual-white-shirt/p/itma226b7c620a17?pid=SHTGAJUZ54M4SYJU&lid=LSTSHTGAJUZ54M4SYJUUIJFBR&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPVIrWIYV3e8WAE6X6w2FJfS14-2-EfpDb_QxeJKJsQkPw%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
sat shree fab,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/sat-shree-fab-polycotton-printed-shirt-fabric/p/itmd42e30c4b4f58?pid=FABGNB6DEJTNWG7U&lid=LSTFABGNB6DEJTNWG7U4O3ECN&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.FABGNB6DEJTNWG7U.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
3BROS,Men Solid Polo Neck Cotton Blend (220 gsm) Green T-Shir...,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itmd0551940a1b12?pid=TSHGBBN9JJXDYYQX&lid=LSTTSHGBBN9JJXDYYQX6QRRYG&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.TSHGBBN9JJXDYYQX.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
TRIPR,"Pack of 2 Men Printed Black, Brown Track Pants",https://www.flipkart.com/tripr-printed-men-black-brown-track-pants/p/itm86e33a42e8f7d?pid=TKPGMENTBFJRPCYN&lid=LSTTKPGMENTBFJRPCYNP7LRJB&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.TKPGMENTBFJRPCYN.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-printed-casual-grey-shirt/p/itmf139c9efcaa77?pid=SHTGR4K2WKZZNBJR&lid=LSTSHTGR4K2WKZZNBJRAWI2W8&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.SHTGR4K2WKZZNBJR.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Green Viscose Rayon Trousers,https://www.flipkart.com/highlander-slim-fit-men-green-trousers/p/itm63007763148bc?pid=TROG5H97JC7G8TWT&lid=LSTTROG5H97JC7G8TWTS5P9LD&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPUmOdcFEMLDdFrT-koZ95nwB-sk6R4JIFLfvWbsLatvFA%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
TRIPR,Men Regular Fit Color Block Casual Shirt,https://www.flipkart.com/tripr-men-color-block-casual-white-black-shirt/p/itmd6526fca8ccbb?pid=SHTFFYRFWWHP9PNR&lid=LSTSHTFFYRFWWHP9PNRJ8AH9P&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPVWjFA3-5dC-ySJk87ZNOPPFDWVadzg1GcWZisdDrBvug%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
TRIPR,"Pack of 2 Men Printed Dark Blue, Black Track Pants",https://www.flipkart.com/tripr-printed-men-dark-blue-black-track-pants/p/itm7e82eb39775ca?pid=TKPGMENTURYFSRSH&lid=LSTTKPGMENTURYFSRSHCAAJDK&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.TKPGMENTURYFSRSH.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
NB NICKY BOY,Nikky Men Printed Round Neck Cotton Blend Black T-Shirt,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm8cd9c96a67f21?pid=TSHGC74BRSQZQQPP&lid=LSTTSHGC74BRSQZQQPPZQRTGJ&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.TSHGC74BRSQZQQPP.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
