name,tag,link
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-printed-casual-grey-shirt/p/itmf139c9efcaa77?pid=SHTGR4K2WKZZNBJR&lid=LSTSHTGR4K2WKZZNBJRAWI2W8&marketplace=FLIPKART&store=clo&srno=b_1_13&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SHTGR4K2WKZZNBJR.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Whippet,Men & Women Solid Ankle Length,https://www.flipkart.com/whippet-men-women-solid-ankle-length/p/itm79b1ec0d1bddb?pid=SOCGN4ZMGQFJH29W&lid=LSTSOCGN4ZMGQFJH29WQANS2B&marketplace=FLIPKART&store=clo&srno=b_1_14&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SOCGN4ZMGQFJH29W.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
AUSK,"Men Striped Round Neck Cotton Blend Light Blue, White T...",https://www.flipkart.com/ausk-striped-men-round-neck-light-blue-white-t-shirt/p/itm705ccbfff5d1a?pid=TSHGZBP8FRGWZWPD&lid=LSTTSHGZBP8FRGWZWPDHZUMPK&marketplace=FLIPKART&store=clo&srno=b_1_15&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TSHGZBP8FRGWZWPD.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
VTEXX,Men Regular Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/vtexx-men-solid-formal-maroon-shirt/p/itmd1e2b3ebb2f1c?pid=SHTGMG75D4ZTYMHR&lid=LSTSHTGMG75D4ZTYMHRNFIXEC&marketplace=FLIPKART&store=clo&srno=b_1_16&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SHTGMG75D4ZTYMHR.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
FTX,Pack of 4 Men Solid Round Neck Polyester Multicolor T-S...,https://www.flipkart.com/ftx-solid-men-round-neck-multicolor-t-shirt/p/itmcf4ced73c57f6?pid=TSHGEHZUWYHSXJEP&lid=LSTTSHGEHZUWYHSXJEPJFODDI&marketplace=FLIPKART&store=clo&srno=b_1_17&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4AkczrJpx0sic43Du9b9E_YZmE4R-gWdF59Q0o2lcfOcrIDQ%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
HIGHLANDER,Men Slim Fit Green Viscose Rayon Trousers,https://www.flipkart.com/highlander-slim-fit-men-green-trousers/p/itm63007763148bc?pid=TROG5H97JC7G8TWT&lid=LSTTROG5H97JC7G8TWTS5P9LD&marketplace=FLIPKART&store=clo&srno=b_1_18&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4AkczL_NOZwTgQs2kjAia15XnaecB8iHGBKQVCz2B3okOkIw%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
3BROS,Men Solid Polo Neck Cotton Blend (220 gsm) Green T-Shir...,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itmd0551940a1b12?pid=TSHGBBN9JJXDYYQX&lid=LSTTSHGBBN9JJXDYYQX6QRRYG&marketplace=FLIPKART&store=clo&srno=b_1_19&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TSHGBBN9JJXDYYQX.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
BTMZ,"Pack of 2 Men Solid Grey, Black Track Pants",https://www.flipkart.com/btmz-solid-men-grey-black-track-pants/p/itm0ca1688a60be3?pid=TKPGEG3TJYUUSXYN&lid=LSTTKPGEG3TJYUUSXYNWXZBI5&marketplace=FLIPKART&store=clo&srno=b_1_20&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TKPGEG3TJYUUSXYN.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
FTX,Pack of 4 Men Solid Round Neck Polyester Multicolor T-S...,https://www.flipkart.com/ftx-solid-men-round-neck-multicolor-t-shirt/p/itmca9706878e41a?pid=TSHGEHZUDJZWA8PV&lid=LSTTSHGEHZUDJZWA8PVLH6I74&marketplace=FLIPKART&store=clo&srno=b_1_21&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4AkcybN_xZBPpSjXWxh37OX8W2h1SHl-DhEpsufdSchJLPow%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
FTX,Pack of 4 Men Solid Round Neck Polyester Multicolor T-S...,https://www.flipkart.com/ftx-solid-men-round-neck-multicolor-t-shirt/p/itm77d0390a01a21?pid=TSHGDSZFDXZTRTSQ&lid=LSTTSHGDSZFDXZTRTSQVRBF2N&marketplace=FLIPKART&store=clo&srno=b_1_22&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4AkczD7rwFlCm1w4JZ0Y262zro4Xqz6uaZRc25pOtBQNPr0A%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
